patient_id,address,allergies,blood_type,closest_hospital,community,country,date_of_birth,disabilities,first_name,gender,has_children,has_dependent,height_cm,language,marital_status,medical_problems,national_id_number,num_of_children,num_of_dependents,post_code,preferred_language,purpose_of_visit,state,sur_name,title,user_id,weight,hospital_id
1,Ap #266-429 Velit St.,NA,AB+,Blue Cross Hospital,suburban,nigeria,4/13/2009,none,ACRA,Female,Yes,Yes,190,english,Married,mental issue,3674400619,2,2,10201,english,medical examination,Lagos,SMITH,Mrs.,1,69,1
2,315-4283 Nam Street,pollen,O-,Krown Hospital,suburban,nigeria,7/8/2011,atherosclerosis,ADOLPH,Male,Yes,Yes,164,english,Married,NA,5885357203,4,2,12224,english,medical examination,Lagos,NEILON,Mr.,2,80,1
3,921-1491 Nonummy Ave,nuts,A-,Ave Maria Hospital,suburban,nigeria,12/30/2000,fibromas,ANKI,Male,Yes,Yes,237,english,Divorced,overwight,5618717297,1,3,53510,english,medical examination,Lagos,HENDRI,Mr.,3,67,1
4,Ap #299-4324 Mauris Avenue,dust,O-,Isolo General Hospital,urban,nigeria,9/15/1987,ruptured discs,GARBO,Male,No,Yes,189,english,Divorced,underweight,6419329397,1,3,25193,english,medical examination,Lagos,SHARRON,Mr.,4,74,1
5,"P.O. Box 913, 6976 Magnis Rd.",flowers,O-,Lagoon Hospitals,rural,nigeria,10/10/2002,arthritis,ADONAI,Female,No,Yes,174,english,Single,NA,6620378740,0,1,37171,english,medical examination,Lagos,NEIVA,Ms.,5,62,1
6,6676 Tristique Street,nuts,A+,Reddington Hospital,rural,nigeria,8/16/1983,arthritis,ANKUR,Male,Yes,Yes,174,english,Single,overwight,5886559716,0,1,30132,english,consultation,Lagos,HENDRY,Mr.,6,66,1
7,896-4316 Tempus Rd.,NA,A-,Krown Hospital,rural,nigeria,7/5/2005,arthritis,GARDENIA,Male,No,Yes,252,english,Divorced,not immunized,6568253597,2,4,28701,english,consultation,Lagos,SHARUKH,Mr.,7,71,1
8,967-2326 Orci Rd.,pollen,A-,St. Nicholas Hospital,rural,nigeria,1/9/1992,none,ADONIJAH,Male,No,Yes,148,english,Married,NA,6766439365,2,4,31496,english,medical examination,Lagos,NEKA,Mr.,8,85,1
9,351-6015 Metus Rd.,flowers,AB-,National Orthopaedic Hospital,rural,nigeria,5/9/2002,NA,ANN,Male,No,No,208,english,Single,physical injury,5516645313,1,1,34432,english,medical examination,Lagos,HENGKY,Mr.,9,72,1
10,"Ap #635-6634 Pede, Av.",NA,AB+,Mercy Stripes Specialist Hospital,rural,nigeria,12/2/1999,amnesia,GARDY,Female,No,No,210,english,Divorced,not immunized,7372393498,4,3,16093,english,consultation,Lagos,SHASHA,Ms.,10,95,1
11,1677 Enim Rd.,dust,O-,Ikorodu General Hospital,rural,nigeria,9/6/2008,arthritis,ADORA,Male,No,Yes,189,english,Married,none,7665914642,2,2,33447,english,medical examination,Lagos,NEKIA,Mr.,11,73,1
12,"P.O. Box 935, 7661 Morbi Street",dust,AB-,Maryiam Ville Medical Center,suburban,nigeria,4/27/1996,NA,ANNABELLA,Male,No,Yes,210,english,Divorced,drug addiction,6913884406,4,3,52972,english,consultation,Lagos,HENNESSEY,Mr.,12,91,1
13,569-7960 Integer Ave,nuts,A-,Blue Cross Hospital,rural,nigeria,2/23/2007,fibromas,GARETH,Female,Yes,No,188,english,Single,drug addiction,6278321948,1,0,26682,english,consultation,Lagos,SHASHWAT,Ms.,13,76,1
14,615-5113 Cum St.,flowers,AB-,Isalu Hospitals,rural,nigeria,9/15/1987,arthritis,ADREAN,Male,No,No,131,english,Married,not immunized,5360606395,1,1,30268,english,medical examination,Lagos,NEKO,Mr.,14,73,1
15,618-3434 Sagittis Av.,NA,O+,National Orthopaedic Hospital,rural,nigeria,9/3/1983,atherosclerosis,ANNA-KAY,Female,Yes,Yes,161,english,Single,NA,6043277003,1,1,22462,english,medical examination,Lagos,HENNY,Ms.,15,68,1
16,405-9892 Ultrices Rd.,NA,AB-,Reddington Hospital,urban,nigeria,11/22/1984,ruptured discs,GARGI,Male,No,No,185,english,Single,none,7484593386,1,1,5162,english,consultation,Lagos,SHATARA,Mr.,16,75,1
17,Ap #561-9293 Sociis St.,pollen,B-,Isolo General Hospital,suburban,nigeria,11/11/1991,fibromas,ADRI,Male,Yes,Yes,149,english,Single,none,4970696508,1,0,9394,english,consultation,Lagos,NELANI,Mr.,17,71,1
18,"Ap #381-3175 Sed, Street",pollen,B+,St. Nicholas Hospital,suburban,nigeria,5/18/2010,amnesia,ANNA-LENA,Female,Yes,Yes,175,english,Married,underweight,6452165620,1,3,16048,english,medical examination,Lagos,HENRIETTA,Mrs.,18,81,1
19,"Ap #230-5566 Amet, St.",NA,AB-,Lagoon Hospitals,suburban,nigeria,2/18/2010,delirium,GARNER,Female,No,Yes,216,english,Married,not immunized,6411171064,4,1,37235,english,medical examination,Lagos,SHATEEK,Mrs.,19,67,1
20,"P.O. Box 967, 4885 Nunc Avenue",pollen,O+,Ifako-Ijaiye General Hospital,rural,nigeria,6/14/1991,atherosclerosis,ADRIANA,Female,No,Yes,139,english,Divorced,NA,7584059027,4,3,43216,english,medical examination,Lagos,NELI,Ms.,20,96,1
21,Ap #266-429 Velit St.,NA,AB+,Badagry General Hospital,suburban,nigeria,4/24/2003,arthritis,ANNA-LISA,Female,No,Yes,135,english,Divorced,underweight,6725918844,2,2,9139,english,medical examination,Lagos,HENRIQUE,Ms.,21,98,1
22,315-4283 Nam Street,dust,AB-,Krown Hospital,urban,nigeria,7/30/2002,none,GARNETTE,Male,Yes,Yes,230,english,Married,overwight,5644304107,3,2,18627,english,consultation,Lagos,SHATERA,Mr.,22,64,1
23,921-1491 Nonummy Ave,pollen,O-,Creek Hospital,urban,nigeria,5/11/2005,amnesia,ADRIANNA,Female,Yes,No,233,english,Single,drug addiction,3712588992,1,0,18232,english,consultation,Lagos,NELINI,Ms.,23,62,1
24,Ap #299-4324 Mauris Avenue,dust,B-,Maryiam Ville Medical Center,rural,nigeria,5/19/1991,amnesia,ANNAMAE,Female,Yes,No,209,english,Divorced,overwight,6049301675,2,4,29340,english,medical examination,Lagos,HENY,Ms.,24,70,1
